,SubAntioquia,SubArauca,SubAtlantico,SubBogota,SubBolivar,SubBoyaca-Casanare,SubCaqueta,SubCauca-Narinno,SubCerromatoso,SubCordoba-Sucre,SubCQR,SubGCM,SubHuila-Tolima,SubMeta,SubNorteSantander,SubPutumayo,SubSantander,SubValle,Exports
2022-07-02 00:00:00,-902697.074,-159320.11662,-950917.85208,-2116285.2194399997,-625469.43816,-309503.44278,-73027.41012,-248225.90184,-251129.65626,-546915.59118,-382333.71582,-799488.59508,-327660.94242,-272675.42568,-269962.1505,-21047.72292,-423389.64276,-884348.59968,-2007.6714000000002
2022-07-02 01:00:00,-862779.189,-157350.60936,-917386.5607200001,-2030763.74508,-592660.16082,-303881.78394,-69124.35348,-235152.40266,-249346.35306000002,-526418.7604200001,-365333.69754,-770006.71062,-313348.60746,-265712.33178,-260028.59777999998,-20272.60746,-407200.67514,-850422.3751800001,-1840.4568000000002
2022-07-02 02:00:00,-840190.206,-157326.00156,-892498.03902,-1978014.65274,-575598.1896,-303584.33322,-67103.87292000001,-227793.15845999998,-247527.04536,-509346.41184,-353859.57558,-743243.26734,-304377.95304,-260730.24516000002,-252598.09932,-19551.95046,-395118.10296,-833977.9917,-3483.4211999999998
2022-07-02 03:00:00,-839547.895,-155178.30132,-873697.07376,-1972147.2183,-560308.18158,-300970.14318,-66469.87494,-226646.15399999998,-247310.10486000002,-497842.0524,-349923.9807,-718080.1677,-298346.31288,-258413.03208,-246465.5382,-19244.3391,-387665.10594,-817972.8555599999,-647.6022
2022-07-02 04:00:00,-867853.112,-155394.57024,-854226.78642,-2017986.36606,-547948.49886,-304538.22125999996,-67144.25843999999,-231984.40986,-243415.55448000002,-490342.47066,-357070.88844,-697648.34538,-293474.87442,-264185.42220000003,-244689.91595999998,-19620.937980000002,-386524.75049999997,-822636.33858,-2012.787
2022-07-02 05:00:00,-911969.744,-155086.26966,-831696.4630799999,-2063860.1487000003,-538907.19498,-312628.28436,-70219.40688000001,-249654.01986,-241870.74156,-479981.51837999996,-369886.41648,-667316.9412,-293182.4385,-264012.27804,-243355.19040000002,-20944.93464,-388386.45846000005,-837804.3962399999,-2999.1402
2022-07-02 06:00:00,-979431.491,-155682.4122,-808719.35508,-2290308.96906,-518828.65650000004,-320522.39603999996,-73807.15104,-270784.04598,-237473.34534000003,-445216.36446,-386865.64979999996,-631499.27652,-294398.43048000004,-258277.89078000002,-248097.54186,-22366.566179999998,-398483.01612000004,-833588.5219200001,0.0
2022-07-02 07:00:00,-1069893.727,-157305.28968,-837351.2712600001,-2507155.59276,-515651.27922,-344631.35448,-85393.14714000002,-300848.53932,-238694.43024000002,-448656.27786000003,-437352.57719999994,-639888.05538,-321864.34518,-246923.63262,-273032.97966,-24030.42012,-440106.73434,-886547.46222,-3565.8756
2022-07-02 08:00:00,-1158719.189,-161440.3854,-889651.8817200001,-2697937.6221,-535205.6173800001,-356688.96102000005,-94062.09581999999,-318620.5218,-240626.74356,-463988.69118,-470488.80942,-658451.25108,-354630.3201,-267855.39774,-296602.48926,-25672.43952,-479661.60186,-995841.55692,-4612.5072
2022-07-02 09:00:00,-1211050.568,-163275.48971999998,-922752.18,-2831705.8056,-545881.98294,-366670.017,-100511.81028,-328122.08856,-240862.54625999997,-473656.69638,-494016.1443,-673082.45424,-374801.5719,-267397.4457,-306189.07578,-27198.769500000002,-504789.5412,-1033317.47232,0.0
2022-07-02 10:00:00,-1264555.584,-165454.38,-944816.3171999999,-2912024.30148,-563155.0596,-367976.49084,-105933.32441999999,-336230.57664,-242965.4472,-487159.34904,-517775.58378000004,-698028.86034,-392430.51036,-262480.89420000004,-321956.68679999997,-28561.27302,-525814.5501,-1066684.11696,-2681.4815999999996
2022-07-02 11:00:00,-1296800.909,-166078.38617999997,-953836.0914599999,-2918878.1647200002,-565239.8304,-371903.43456,-107203.10958,-345789.5742,-243871.17678,-500140.28609999997,-535618.1023200001,-728144.3106000001,-408435.02532,-255744.66582,-324362.934,-29891.77884,-536385.09456,-1100971.34406,0.0
2022-07-02 12:00:00,-1286832.168,-165763.0674,-943144.96248,-2902657.48542,-572766.94314,-363312.05652,-106954.26588,-342745.64856000006,-246775.90391999998,-493354.40742000006,-531738.07722,-746332.74954,-406336.42476,-243740.5236,-315633.12102,-29090.51082,-526982.11398,-1114373.11356,0.0
2022-07-02 13:00:00,-1241261.947,-165414.51234,-942977.84238,-2789112.57912,-574471.22922,-356952.48245999997,-105227.14356,-331720.71408,-250673.43042,-497502.36773999996,-519691.43393999996,-769415.5161,-401696.16102,-241198.18884,-318695.33682,-28902.94092,-518957.54946,-1076877.28638,0.0
2022-07-02 14:00:00,-1209929.297,-167038.23276,-934056.7992,-2662680.2895000004,-590221.03266,-354698.08668,-105090.63264,-329573.85426,-248864.6601,-501637.50756,-504952.58394,-794984.0560199999,-402803.76402,-240755.10353999998,-313507.9143,-29901.69252,-513811.15632,-1044190.1068200001,-73.0422
2022-07-02 15:00:00,-1192549.85,-166141.11402,-935486.55522,-2575303.4500200003,-584307.46584,-356456.19618,-102805.26102,-328788.88308,-252192.74724,-487201.40658,-496011.37950000004,-794916.4293000001,-397152.26963999995,-245708.61714000002,-308314.03554,-30462.18966,-511482.59316,-1005702.91794,-1218.2436
2022-07-02 16:00:00,-1176626.999,-165179.09016,-913416.24528,-2501864.82882,-575983.3023,-353690.45333999995,-103387.91274,-330042.67506,-247995.37476,-479095.53426,-490034.29482,-765432.24786,-395731.89558,-280483.51212,-298561.14918,-30295.564739999998,-501149.63808,-984842.7876,-1015.0686000000001
2022-07-02 17:00:00,-1158899.611,-165118.39596,-887261.72724,-2588756.2570800004,-560621.11392,-355545.31194000004,-103641.68052,-336575.2194,-249187.75812,-476941.57686,-489993.78582,-747311.81112,-386593.5213,-288863.58564,-302842.85598,-30375.42984,-501596.69238,-1049723.61984,-5293.134
2022-07-02 18:00:00,-1313716.154,-175759.85322,-975142.05516,-2727725.33754,-627794.81856,-394975.48608,-124415.53361999999,-394560.56429999997,-270184.61988,-588414.34386,-546677.78508,-847067.68062,-422837.25624,-314785.16874,-328658.5638,-35337.61728,-539378.43876,-1167161.63004,-8038.6866
2022-07-02 19:00:00,-1332192.369,-176356.33344000002,-1002342.8885400001,-2799438.26778,-647157.50694,-402009.25338,-126434.14056,-412255.40454,-274581.12024,-618750.49446,-552638.89044,-864067.88916,-441479.01798,-313130.29608,-319090.7097,-36461.82456,-537769.67328,-1160972.55792,0.0
